,neighborhood_overview,review_scores_location
33718,Biggest appeal to Canonbury is its proximity to all that Islington as a whole has to offer  as it is situated just to the east of fashionable Upper Street and North of the hip Essex Road  Whether it  superb transport links  arts   culture or a multitude of restaurants and bars on your doorstep _ Canonbury has it all   It is also       to both Church Street and Green Lanes which have an array of  shops / restaurants/ cafes  The   is a 5     to the beautiful Clissold Park  and 20     to Highbury Fields park ,5
33724,Theatres and halls  triangles and strip malls  rowdy bars and shopping centers__hepherd  Bush is a mumbling west London  that doesn__ disappoint  The neighborhood  8-acre triangular green space teems with activity and invites pleasure-strollers and passers-by to peruse the cafes  pubs  and theatres along the park  surrounding streets  When local labels aren__ enough  check out Shepherd Bush  claim to fame__he  is home to Europe  largest urban shopping complex ,5
33728,"The  s is  for nice local pubs and bars  Here are some of my favourite local options    _	The Atlas  Seagrave Road  ~2       a very nice  cosy local pub with a log fire that does  pub food  Also has a spacious outdoor   which is  on a warm summer evening  _	The Harwood Arms  Walham Grove  ~5       award-winning food and wine  You will usually need to book in advance and it is relatively expensive for food _	The Prince  Lillie Road  ~3       very   by  with a surprisingly large quasi al-fresco drinking and dining   which connects to 4 restaurants serving up-market fast food  _	Vagabond Wine Bar  Vanston Place  ~7       a pleasant wine bar where you can try loads of different wines  Also serves really good cheese  charcuterie etc ",5
33734,This   rocks    Clifton Road  2        has a real village feel with independent shops  including two deli's  a beauty salon  hairdressers  restaurants  four  and a small supermarket  post office and two  pharmacy's   It has become a popular international    attracting plenty of tourists who like to   along the canal  visit the Abbey Road Studios   of Beatles Fame  or enjoy the local restaurants   And yet it  only a 25     to Oxford Street or just 3 tube stops to Bond Street ,5
33738,The   is terrific two lovely parks   a 5      Wimbledon Common is   by and all the lovely coffee shops  restaurants and bars    easy      For larger shops the town has a good shopping centre which caters to all ages and tastes  Wimbledon village has host of pubs and restaurants and there are 3 pubs on the Common all serving excellent food  It feels quite rural although just a short   in to London  Putney and the river are all around 20     by car and 30   by bus ,5
33743,Quiet and scenic building down from the hustle and bustle of Haverstock Hill      to Camden  Primrose Hill  Hampstead Heath and Swiss Cottage,5
33745,The  is very desirable  with little cafes and boutique shops dotted around the High Street  Take a   down Camden Passage to find quirky little shops and coffee spots  visit the Almeida Theatre just up the road  take a stroll along the canal or be spoilt for choice with pubs ,5
33748,The residence is situated in a beautiful pocket of central London  discrete but also very  ly positioned to London's prime  s of Mayfair  Kensington and Chelsea    The street and neighbouring streets are largely residential as   as ambassadorial  The style is elegant and uniform with the traditional London white stucco facades   However  by way of contrast  the busy and exciting leisure attractions of Oxford Street and Regents Street are a short 10        So this property allows its guests to enjoy both the lively and the quiet as and when they wish ,5
33750,The Oval Cricket Ground is a few        There is a lovely haunt called  Coffee Works  3   South  On this road  there is a Tesco Express and Lidl towards Stock  station  also a co-op and a Sainsbury's local   and several one-stop-shops nearer Oval ,5
33757,You'd be staying in a super trendy and popular   of London  which has excellent transport links and easy access to Central London  with lots of bars  restaurants  markets and shops    London Fields is only a 15     from the   and the market has food and vintage items during the weekend  Bars around London fields is are really fun too if that's what you're looking for on a weekend  Columbia flower market is about 20      only available on the Sundays  Shoreditch is a hip    only 15   by bus ,5
33760,We live in an   of North London between Highgate and Crouch End  They are leafy urban  villages  that are  for families and have an array of restaurants  pubs  bars and boutique shops  Its an   of London where   stars of screen and stage have chosen to make their home so we hope you enjoy the   as much as they do   guests will find places like Alexandra Palace park  stunning views of London  as   as Hampstead Heath which offers beautiful  s and brings the English countryside right into London ,5
33763,Really lovely   right next to a  grocery store and Swedish cafe  There are  things to explore  in Hammersmith and gives quick and cheap access to Central London ,5
33765,Whitechapel is very fun   that is located in East London where you can find a lot of fun activities to do  I would recommend the Jack the Ripper tour  Genesis Cinema  show independent movies   the Whitechapel Gallery  and the East London Mosque  The   is also a 10-15     to other  s of East London such as Spitalfields Market and Brick Lane ,5
33769,The Oval Cricket Ground is a few        There is a lovely haunt called  Coffee Works  3   South  On this road  there is a Tesco Express and Lidl towards Stock  station  also a co-op and a Sainsbury's local   and several one-stop-shops nearer Oval ,5
